header,description,platforms
NtfsLinkCreatedDetectInfo,,Windows
IPCDetectInfo,,Windows
MacKnowledgeActivityStart,An entry from a knowledgeC database indicating the start of some user activity on a MacOs system. Fields: Forensics,Forensics
MemoryProtectionChanged,,Linux
ScheduledTaskTemplateDetectInfo,,Windows
DcRemovableStorageDeviceBlocked,,"Windows, macOS"
DcRemovableStorageDevicePolicyViolation,,"Windows, macOS"
ResourceLimit,,Linux
RegFeatureUsageInfo,Fields: Forensics,Forensics
HttpRequestV2Detect,,"Windows, Windows"
HostedServiceStatusInfo,Status information includes loaded DLL for a hosted service. Fields: Forensics,Forensics
RegCrowdstrikeKeyUpdate,,Windows
K8SInitContainerStatus,Snapshot of an Initialization(Init) Container belonging to a Pod Fields: Public Cloud,Public Cloud
AzureNatFirewallRule,An event that contains Azure firewall rules for LAN. Fields: Public Cloud,Public Cloud
ActiveDirectoryIncomingLdapSearchRequest,Indicates that the Domain Controller must handle one or more LDAP search requests from an account on an endpoint.,Windows
AksCluster,Snapshot of an Azure AKS cluster. Fields: Public Cloud,Public Cloud
AksAgentPool,Snapshot of an Azure AKS Agent Pool. Fields: Public Cloud,Public Cloud
K8SPod,Snapshot of a Pod object in Kubernetes. Fields: Public Cloud,Public Cloud
K8SService,Snapshot of a Service object in Kubernetes. Fields: Public Cloud,Public Cloud
K8SNode,Snapshot of a Node object in Kubernetes. Fields: Public Cloud,Public Cloud
K8SRunningContainer,Snapshot of a running Container belonging to a Pod. Fields: Public Cloud,Public Cloud
AzureFirewall,An event that contains information about Azure cloud-based network security service. Fields: Public Cloud,Public Cloud
AzureFirewallRuleCollection,"An event that contains Azure firewall rule collections for application, NAT (network address translation) and network firewall rules. Fields: Public Cloud",Public Cloud
AzureNetworkSecurityGroupRule,An event that contains Azure security rules in the specified network security group. Fields: Public Cloud,Public Cloud
K8SEphemeralContainer,Snapshot of an ephemeral Container belonging to a Pod. Fields: Public Cloud,Public Cloud
K8SRunningContainerStatus,Snapshot of status for a running Container inside a Pod. Fields: Public Cloud,Public Cloud
AksVMSS,Snapshot of an Azure Virtual Machine Scale Sets. Fields: Public Cloud,Public Cloud
K8SInitContainer,Snapshot of status for an Initialization(Init) Container inside a Pod. Fields: Public Cloud,Public Cloud
AzureApplicationFirewallRule,An event that contains firewall rules for https traffic or Azure SQL traffic. Fields: Public Cloud,Public Cloud
BamRegAppRunTime,Recent program execution timeline from Background Activity Moderator (BAM) system service registry. BAM key is written on system shutdown. Fields: Forensics,Forensics
ScriptControlDetectInvalidInfo,,"Linux, Falcon Container"
UserAccount,Describes an observed user account. Fields: Forensics,Forensics
JumpListInfo,Fields: Forensics,Forensics
RegShimCache,Shim cache registry entry. Fields: Forensics,Forensics
ActiveDirectoryAuditUserModified,,Windows
KernelExtension,Describes a macOS kernel extension identified by the collector. Fields: Forensics,Forensics
AzureNetworkFirewallRule,An event that contains Azure network filtering rules. Fields: Public Cloud,Public Cloud
ActiveDirectoryAccountDirectContainingGroupEntitiesUpdate,,Windows
ActiveDirectoryAccountFlattenedContainingGroupEntitiesUpdate,,Windows
ConfigStateUpdate,"Sent periodically and when dynamic config is updated. Analysts can find out which config was active using this event with ConfigStateHash. You may have to reason about what a particular hash really means for a particular event at a given point in time, particularly if the hash has recently changed.","Windows, macOS, Linux, Falcon Container, iOS, Android, Kubernetes, Windows Legacy, Vmcluster"
LFODownloadConfirmation,Thrown when the agent receives an LFODownload event.,"Windows, macOS, Linux, Falcon Container, Android, iOS, Kubernetes, Vmcluster"
ASLRBypassAttempt,"Emitted when a process that applied ForceASLR to a module detects an invalid execution attempt. This should only happen during an exploit, when the initial ROP chain is designed to defeat ASLR. In the case of a typical ALSR bypass attempt (trying to utilize code in a rebased image as part of a ROP chain), TargetAddress and ExceptionAddress will likely be identical, as will ImageFileName and SourceFileName.",Windows
HeapSprayAttempt,Emitted when a process that had HeapSpray protections applied detects an invalid execution attempt.,Windows
SEHOverWriteAttempt,"An event that is emitted when a UserException event has failed a SEH (Structured Exception Handler) validation. The nature of the failure is described by the bitmask SEHValidationFailureFlags. Depending on the type of failure, ExceptionHandlerAddress field or ExceptionFrameAddress field may not be present.",Windows
SsoUserLogon,"Indicates an initial, successful sign-in to an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS. Fields: Public Cloud",Public Cloud
SsoUserLogonFailure,"Indicates an initial, failed sign-in to an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS. Fields: Public Cloud",Public Cloud
SsoApplicationAccess,"Indicates successful access to an application through an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS. Fields: Public Cloud",Public Cloud
AdditionalHostInfo,Serves as an addition to kernel-driven HostInfo event. Provides host-specific machine information from user mode. ObjectGuid is optional because a given host may not be joined to a domain.,"Windows, macOS"
AndroidModuleStateUpdate,Status information of modules for the Android sensor. AndroidModuleId lists available modules. Fields: Android,Android
SsoApplicationAccessFailure,"Indicates failed access to an application through an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS. Fields: Public Cloud",Public Cloud
UserAccessLogEntry,Per-user access log information for the year for a service role and IP address pair on Windows servers. Fields: Forensics,Forensics
FileSignatureMismatch,On-demand scan for files with name extensions and header magic values. Fields: Forensics,Forensics
RemoteProcessMemoryWrite,,Linux
FileHashesEvent,Fields: Forensics,Forensics
WindowsTimelineEntry,Fields: Forensics,Forensics
OpenDirectoryGroupRemove,,macOS
RegGenericInfo,Registry entry generic information. Fields: Forensics,Forensics
MacKnowledgeActivityEnd,An entry from a knowledgeC database indicating the end of some user activity on a MacOs system. Fields: Forensics,"Forensics, Windows"
MacMRU,"A digital forensics record derived from Apple SharedFileList (.sfl/.sfl2) files. This event helps identify most recently used resources (applications, documents, volumes, etc.). Fields: Forensics",Forensics
WlanInterfaceInfo,Fields: Forensics,Forensics
ShimDbTag,A tag entry in the Shim database. Fields: Forensics,"Forensics, Forensics"
SruNetworkConnectivityUsage,"System Resource Utilization Monitor: connection time per local network interface, application and user tuple. Fields: Forensics",Forensics
FileExtendedAttrOperation,,macOS
USNRecord,Fields: Forensics,Forensics
PeCodePageInfo,A code page that is used to decode code point values within a windows Portable Executable resource. Fields: Forensics,Forensics
RemoteProcessMemoryRead,,Linux
XProtectAction,,macOS
AspmCollectionStatusUpdate,,"Linux, Windows"
ProcessOpenedFileDescriptor,Fields: Forensics,Forensics
EddScanStart,Sent by sensor to indicate the start of a new EDD scan run. Note: This event is currently not supported in macOS. Sent by sensor to indicate the start of a new EDD scan run.,"macOS, Windows"
CreateThreadNoStartImage,"This event is used to indicate the target start address of a CreateThread attempt is not within the limits of a loaded module. This could indicate the presence of shellcode, or other dynamically allocated code regions.",Windows
CreateThreadReflectiveDll,This event is used to indicate the presence of a reflectively loaded dll in the callstack for a CreateThread attempt.,Windows
UmppcEntryAnomaly,,Windows
ScriptControlBlocked,This event is sent when Falcon Host has blocked malicious script content from being executed on the machine. This event provides the details of exactly what content was blocked.,Windows
ProcessHandleOpDetectInfo,An event that describes the operation on a Process handle that triggered a detection.,Windows
ReflectiveDllOpenProcess,A userspace thread attempted to open a process which appeared to originate from a reflectively loaded DLL.,Windows
ScriptControlScanTelemetry,,Windows
IdpPolicyAccessRuleMatch,,Windows
CreateThreadKernelNoStartImage,Emitted when a new system thread is created outside of a loaded driver.,Windows
IdpWatchdogReEnabled,,Windows
SensorSelfDiagnosticAlert,,"Linux, macOS, Windows"
ExtendedExploitMitigationViolatedDetectInfo,,Windows
ProcessState,Running process observed at collection time. Fields: Forensics,Forensics
FfcBytePatternScanResult,Describes a scanning result performed by the Falcon Forensics Collector. Fields: Forensics,Forensics
CSAResultsGenericDetectInfo,,Windows
DataProtectionBrowserConnect,,"Windows, macOS"
ProcessSubstituteUser,,macOS
DcUsbDeviceConnected,"An event that describes a connected USB device to which Device Control is attached. It is sent each time the system powers on, the associated hub/port is power cycled, or the device is physically inserted into the system.","Linux, Windows, macOS"
GcpComputeNetworkInterface,An event that contains GCP (Google Cloud Platform) Compute Network Interface configuration information. Fields: Public Cloud,Public Cloud
SuspectCreateThreadStack,This event is used to indicate that suspicious data has been discovered in the context of a CreateThread attempt.,Windows
ErrorEvent,Event indicating a sensor error.,"Linux, Falcon Container, Windows, macOS, Vmcluster, Kubernetes"
ResourceUtilization,"An event that contains CPU and RAM utilization data for a system. The event is sent when the sensor connects and every 15 minutes thereafter. An event that contains CPU and RAM utilization data for a system. The event is sent when the sensor connects, every 15 minutes thereafter, and in case any change in capacity is detected.","Linux, Falcon Container, macOS, Kubernetes, Windows"
RecentlyModifiedFileExecutedInContainer,,"Linux, Falcon Container"
DetectionExcluded,"This event indicates that a detection has been excluded, either by customer exclusions or by CrowdStrike. Fields: Android, iOS","Android, iOS, macOS, Linux, Falcon Container, Windows"
ZstdFileWritten,,"Linux, macOS, Windows"
LhaFileWritten,,Windows
BcmFileWritten,,Windows
FreeArcFileWritten,,Windows
Base64PeFileWritten,,Windows
LRZipFileWritten,,"Linux, macOS, Windows"
BlakHoleFileWritten,,Windows
ZpaqFileWritten,,Windows
BrotliFileWritten,,Windows
PeaFileWritten,,Windows
Yz1FileWritten,,Windows
NetworkSummary,,Windows
LZipFileWritten,,"macOS, Linux, Windows"
ProcessEnvironmentEmpty,,Linux
NetworkStatisticsIP6,Fields: Forensics,"Forensics, macOS"
LzmaFileWritten,,"Windows, macOS, Linux"
SyntheticProcessTrace,,Linux
ShellCommandLineInfo,,Linux
NetworkStatisticsUDP6,Fields: Forensics,Forensics
LZOFileWritten,,"Linux, Windows, macOS"
NetworkStatisticsTCP4,Fields: Forensics,Forensics
NetworkStatisticsUDP4,Fields: Forensics,Forensics
NetworkStatisticsIP4,Fields: Forensics,Forensics
PromiscuousBindIP6,,Windows
LZ4FileWritten,,"macOS, Windows, Linux"
MpThreatWMI,Fields: Forensics,Forensics
NetworkStatisticsTCP6,Fields: Forensics,Forensics
NetworkIcmpDataIP4,,Linux
SensorMetadataUpdate,,Linux
UserExceptionDEP,This event is emitted when a userspace process is detected as having has a DEP or NX-related exception.,Windows
MpThreatAction,Report when a particular threat action type has occurred. Fields: Forensics,Forensics
ClassifiedSensitiveFileAccess,,Windows
PhpEvalString,,Linux
PhpExecuteScript,,Linux
PhpBase64Decode,,Linux
FileDescriptorMonitor,Fields: Forensics,Forensics
WSLMetadata,,Linux
BITSJobInfo,Background Intelligent Transfer Service (BITS) job information. Fields: Forensics,Forensics
MpThreat,Microsoft protection threat. Fields: Forensics,Forensics
MpThreatDetection,Microsoft protection threat detection. Fields: Forensics,Forensics
NetworkIcmpDataIP6,,Linux
MpThreatDetectionWMI,Fields: Forensics,Forensics
DataProtectionPACDiagnostic,,Windows
InstallServiceDownloadComplete,An install service download has completed.,Windows
QuarantineActionResult,This event reports the result of a file quarantine triggered by Falcon Prevent.,"Windows, macOS, Linux, Kubernetes, Vmcluster"
UpdateManifestDownloadComplete,An update manifest download has completed.,Windows
NetworkUncontainmentCompleted,This event is sent by the sensor after processing a NetworkUncontainmentRequest event from the cloud. The Status field indicates the success or failure of the uncontainment operation.,"Windows, macOS, Linux, Android, iOS"
QuarantinedFile,This event is generated when a file is quarantined by Falcon Prevent.,"Windows, macOS, Linux, Kubernetes, Vmcluster"
InstallBundleDownloadComplete,An install bundle download has completed.,Windows
NetworkContainmentCompleted,This event is sent by the sensor after processing a NetworkContainmentRequest event from the cloud. The Status field indicates the success or failure of the containment operation.,"Windows, Linux, macOS, iOS, Android"
SAMHashDumpFromUnsignedModule,This event contains information about an unsigned module that accessed protected SAM account registry keys. It combines relevant information from the RegNtPostOpenKeyEx and SignInfoWithCertAndContext events,Windows
QuarantinedFileState,This event reports the state of a file quarantined by Falcon Prevent.,"Windows, macOS, Linux, Kubernetes, Vmcluster"
OsfmDownloadComplete,Sent by LFODownloadActor when new OSFM data is downloaded.,Windows
InstalledUpdates,"An event that describes the updates installed on the system. The Status field will indicate if some error occurred when attempting to find installed updates. PendingUpdateIds will be an empty string if none are pending. The event is emitted once at startup, and then periodically after that.",Windows
UserFontLoad,An event that is sent when a user mode program attempts to add a font.,Windows
NullPageUnmapAttempt,An event that indicates that an attempt was made to unmap the NULL page.,Windows
UmppaErrorEvent,,Windows
NullPageProtectionModificationAttempt,An event that indicates that an attempt was made to modify the protection of the NULL page.,Windows
RansomwareOpenFile,A reified LocalFsPostCreate event so the cloud can route these events for ransomware support.,Windows
RegNtPostOpenKeyEx,Registry post open key operation event.,Windows
FsPostCreate,"This event has been deprecated as of Falcon Sensor for Windows 4.16.7903. Older sensors and existing data for these events will still appear, but new sensors utilize the FileCreateInfo event. This event is generated when a file is created by a process.",Windows
ManifestDownloadComplete,Sent by LFODownloadActor when a new configuration manifest has been downloaded.,"Windows, macOS, Linux, Falcon Container, Kubernetes, Vmcluster"
ConfigDownloadComplete,Sent by LFODownloadActor when a new binary configuration has been downloaded as part of a configuration update.,"Windows, macOS, Linux, Falcon Container, Kubernetes, Vmcluster"
FsPostOpen,"This event has been deprecated as of Falcon Sensor for Windows 4.16.7903. Older sensors and existing data for these events will still appear, but new sensors utilize the FileOpenInfo event. This event is generated when a file is opened by a process. This event is only sent to the cloud for processes inside of a detection tree.",Windows
ModuleDownloadComplete,Sent by LFODownloadActor when a new module has been downloaded as part of a configuration update.,"Windows, macOS, Linux"
ECBDownloadComplete,Sent by LFODownloadActor when a new ECB module has been downloaded as part of a configuration update.,"Windows, macOS, Linux, Windows"
RegKeySecurityDecreasedFromUnsignedModule,This event contains information about a protected registry security object whose security was decreased. It combines relevant information from the RegKeySecurityDecreased and SignInfoWithCertAndContext events.,Windows
ChannelDataDownloadComplete,Sent by LFODownloadActor when a new channel data file has been downloaded.,"Windows, Android, Linux, Falcon Container, macOS, Kubernetes, iOS, Vmcluster"
FsPostOpenSnapshotFile,Information about a file opened on a snapshot volume.,Windows
PrivilegedProcessHandle,Indicates a process has opened a handle to a privileged process with special access rights.,Windows
FsPostOpenUpImpersonating,"A reified FsPostOpen event that occurred in the context of a thread up-impersonating another user, and the context process was not a privileged account.",Windows
RegNtPostOpenKeyExUpImpersonating,"A reified RegNtPostOpenKeyEx event that occurred in the context of a thread up-impersonating another user, and the context process was not a privileged account.",Windows
PrivilegedProcessHandleFromUnsignedModule,This event contains information about a privileged process handle created from an unsigned module.,"Windows, Windows"
ConfigurationLoaded,"Thrown when a new configuration has been successfully loaded but before any Event Sources are started. Fields: Android, iOS","Android, iOS"
OciImageInfo,An event that contains information about this image used in a container.,"Linux, Falcon Container"
CsUmProcessCrashSummaryEvent,A event that is emitted when a CrowdStrike process crashes which helps diagnose issues in the field.,Windows
FirewallRuleApplicationFailed,An event that indicates that the application of a firewall rule has failed. An event that indicates that the application of a firewall rule has failed.,"Windows, macOS, Linux"
FalconServiceStatus,A message from CsFalconService regarding the service and its servlets' lifecycle events.,"Windows, Windows"
RemediationActionServiceRemoval,Notification of a service persistence removal remediation action attempted by the sensor.,Windows
CidMigrationError,,"Windows, Linux, macOS"
CidMigrationManifestDownloadComplete,,"Windows, macOS, Linux"
AmsBytePatternScanTelemetry,,Windows
AmsBytePatternScanResult,,Windows
RecoveryActionDeleteFilesComplete,,"Windows, Linux, Falcon Container, Kubernetes, macOS"
RecoveryActionRegistryDeleteValueKeyComplete,,Windows
RecoveryActionRegistryDeleteKeyComplete,,Windows
RecoveryActionRegistryDeleteKeyReply,,Windows
RecoveryActionRegistryCreateKeyComplete,,Windows
RecoveryActionManipulateModuleTableComplete,,"Linux, Falcon Container, macOS, Windows"
RecoveryActionKillProcessesComplete,,"Linux, Falcon Container, Kubernetes, Windows, macOS"
RecoveryActionKillProcessesReply,"Fields: Kubernetes, Windows, macOS, Linux, Falcon Container","Kubernetes, Windows, macOS, Linux, Falcon Container"
PackageManagerDownloadComplete,"Fields: Vmcluster, macOS, Linux, Falcon Container, Windows, Kubernetes","Vmcluster, macOS, Linux, Falcon Container, Windows, Kubernetes"
OciContainerPlumbingSummary,,Linux
EddScanStatus,Sent by sensor periodically to report the status of an on-going scan. Note: This event is currently not supported in macOS. Sent by sensor periodically to report the status of an on-going scan.,"macOS, Windows"
LFODownloadComplete,,"macOS, Kubernetes, Vmcluster, Android, iOS, Windows, Linux, Falcon Container"
IdpCloudHealthConfigurationsSetResponse,,Windows
IdpWatchdogConfigurationsSetResponse,,Windows
RemediationMonitorKillProcess,Notification of a kill process remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,"Linux, macOS, Windows"
RemediationActionQuarantineMacroFile,,Windows
KernelCallbackTablePatch,"An event that indicates that the KernelCallbackTable has been altered at the specified index. If present, CallstackModuleNames, Buffer, and MiniContext apply to the thread that modified the index, with Buffer being the bytes at the faulting address. MiniContext, if set, contains Edi, Esi, Ebx, Edx, Ecx, Eax, Ebp for 32-bit processes and Rax, Rcx, Rdx, Rbx, Rbp, Rsi, Rdi, R8-R15 on 64-bit.",Windows
EarlyExploitPivotDetect,Telemetry event indicating execution pivoting in an unusual way. Could be indicative of malicious code.,Windows
SuspiciousUserFontLoad,Sent when a UserFontLoad event has been blocked by the sensor.,Windows
CommsLogReset,Sent by Communications indicating that the CommsLog was flushed due to invalid data,macOS
RecoveryActionRegistrySetValueKeyReply,,Windows
RecoveryActionSetRuntimeSystemTagsComplete,,"Windows, macOS, Linux, Falcon Container"
RecoveryActionSetSystemTagsComplete,"Fields: Kubernetes, Windows, macOS, Linux, Falcon Container","Kubernetes, Windows, macOS, Linux, Falcon Container"
RecoveryActionGetSystemTagsComplete,"Fields: Kubernetes, macOS, Linux, Falcon Container, Windows","Kubernetes, macOS, Linux, Falcon Container, Windows"
OpenDirectoryPasswordModification,,macOS
RecoveryActionDeleteFilesReply,"Fields: Kubernetes, Windows, macOS, Linux, Falcon Container","Kubernetes, Windows, macOS, Linux, Falcon Container"
RecoveryActionGetModuleTableRecordComplete,,"macOS, Windows, Linux, Falcon Container"
OciContainerInfo,An event that contains information about this container on creation of the container.,"Linux, Falcon Container"
HttpVisibilityStatus,An event that indicates that the status of the HTTP Visibility event source has been updated.,Windows
SSHClientAuthenticated,,Linux
RecoveryActionGetRuntimeSystemTagsComplete,,"Windows, macOS, Linux, Falcon Container, Windows"
DriverPreventFailed,Event which indicates we failed (or timed out) attempting to block a driver load.,Windows
RemediationActionKillProcess,Notification of a kill process remediation action attempted by the sensor.,"Windows, Linux, macOS, Windows Legacy"
RemediationActionQuarantineFile,Notification of a quarantine file remediation action attempted by the sensor.,Windows
RemediationMonitorQuarantineFile,Notification of a quarantine file remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
CreateProcessArgs,Full command line argument corresponding to a process creation.,macOS
CloudScanControl,A event to that notifies downstream services of completed tasks. Fields: Public Cloud,"Public Cloud, Windows"
RemediationActionRegistryRemoval,Notification of a registry persistence removal remediation action attempted by the sensor.,Windows
BlockThreadFailed,A block thread request failed.,Windows
KillProcessError,"If KillProcessActor fails to kill a process due to process being marked as system critical or for any other reason, this event is emitted.","Linux, Falcon Container, macOS, Windows"
MacFsEventRecord,"Mac fsevents record, forensically interesting filesystem logging/information. Fields: Forensics",Forensics
ExcelDocumentOpened,,Windows
QuarantineXattribute,Fields: Forensics,Forensics
AppProtocolDetected,,macOS
RemediationActionQuarantineOfficeMacroFile,,"Windows, Windows"
OpenDirectoryCreateUser,,macOS
ZerologonExploitAttempt,,Windows
PeLanguageId,A language on which a windows Portable Executable resource depends. Fields: Forensics,Forensics
MsiTransactionExecuted,,Windows
RecoveryActionRegistryDeleteValueKeyReply,,Windows
RecoveryActionRegistrySetValueKeyComplete,,Windows
EtwComponentResponse,Event sent in when EtwComponent has initialized. AttemptNumber is no longer used.,Windows
SuspendProcessError,This event is emitted if KillProcessActor fails to suspend a process.,"Linux, Falcon Container, Windows, macOS"
RemediationActionScheduledTaskRemoval,Notification of a scheduled task persistence removal remediation action attempted by the sensor.,Windows
RecoveryActionRegistryCreateKeyReply,,"Windows, Android, iOS"
